Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR254-Col-T1#11-10X-1A.tif,pAR254,11,1A.tif,286,7667,26.808,18,2612,145.111,15.88888889,0.062937063,0.940789474,10279,2.935298622,0.745889678,0.254110322
Segmented_GiantCells_pAR254-Col-T1#12-10X-1A.tif,pAR254,12,1A.tif,697,18441,26.458,31,4750,153.226,22.48387097,0.044476327,0.957417582,23191,3.882315789,0.795179164,0.204820836
Segmented_GiantCells_pAR254-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR254,13,1A,398,7241,18.193,19,2625,138.158,20.94736842,0.047738693,0.954436451,9866,2.75847619,0.733934725,0.266065275
Segmented_GiantCells_pAR254-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR254,14,1A,1006,28834,28.662,31,4059,130.935,32.4516129,0.030815109,0.970106075,32893,7.103720128,0.876599884,0.123400116
Segmented_GiantCells_pAR254-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR254,15,1A,617,16922,27.426,20,2989,149.45,30.85,0.032414911,0.968602826,19911,5.661425226,0.849881975,0.150118025
Segmented_GiantCells_pAR254-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR254,16,1A,423,10912,25.797,20,3216,160.8,21.15,0.047281324,0.954853273,14128,3.393034826,0.772366931,0.227633069
Segmented_GiantCells_pAR254-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR254,17,1A,522,19412,37.188,34,5602,164.765,15.35294118,0.0651341,0.938848921,25014,3.465191003,0.776045415,0.223954585
Segmented_GiantCells_pAR254-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR254,18,1A,607,18340,30.214,25,3612,144.48,24.28,0.041186161,0.960443038,21952,5.07751938,0.835459184,0.164540816
Segmented_GiantCells_pAR254-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR254,19,1A,532,18209,34.227,31,4990,160.968,17.16129032,0.058270677,0.944937833,23199,3.649098196,0.784904522,0.215095478
Segmented_GiantCells_pAR254-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR254,2,1A,587,20121,34.278,35,5765,164.714,16.77142857,0.059625213,0.943729904,25886,3.49019948,0.777292745,0.222707255
Segmented_GiantCells_pAR254-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR254,20,1A,234,4251,18.167,20,2452,122.6,11.7,0.085470085,0.921259843,6703,1.733686786,0.634193645,0.365806355
Segmented_GiantCells_pAR254-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR254,21,1A,338,9920,29.349,22,3652,166,15.36363636,0.065088757,0.938888889,13572,2.716319825,0.730916593,0.269083407
Segmented_GiantCells_pAR254-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR254,22,1A,329,9427,28.653,24,4472,186.333,13.70833333,0.072948328,0.932011331,13899,2.108005367,0.678250234,0.321749766
Segmented_GiantCells_pAR254-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR254,23,1A,547,16448,30.069,31,4997,161.194,17.64516129,0.056672761,0.946366782,21445,3.291574945,0.766985311,0.233014689
Segmented_GiantCells_pAR254-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR254,24,1A,642,15314,23.854,23,3639,158.217,27.91304348,0.035825545,0.965413534,18953,4.208298983,0.807998734,0.192001266
Segmented_GiantCells_pAR254-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR254,3,1A,516,17471,33.859,30,4789,159.633,17.2,0.058139535,0.945054945,22260,3.648152015,0.784860737,0.215139263
Segmented_GiantCells_pAR254-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR254,4,1A,626,20715,33.091,30,5962,198.733,20.86666667,0.047923323,0.954268293,26677,3.4745052,0.776511602,0.223488398
