Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_GiantCells_pBR65-Col-T1#10-10X-100x_Maximum intensity projection.tif,pBR65,10,100x,Giant,3,329,109.667
Segmented_GiantCells_pBR65-Col-T1#11-10X-404x_Maximum intensity projection.tif,pBR65,11,404x,Giant,6,684,114.000
Segmented_GiantCells_pBR65-Col-T1#12-10X-160x_Maximum intensity projection.tif,pBR65,12,160x,Giant,5,675,135.000
Segmented_GiantCells_pBR65-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR65,15,400x,Giant,3,325,108.333
Segmented_GiantCells_pBR65-Col-T1#16-10X-20x_Maximum intensity projection.tif,pBR65,16,20x,Giant,1,152,152.000
Segmented_GiantCells_pBR65-Col-T1#18-10X-180x_Maximum intensity projection.tif,pBR65,18,180x,Giant,6,841,140.167
Segmented_GiantCells_pBR65-Col-T1#19-10X-200x_Maximum intensity projection.tif,pBR65,19,200x,Giant,2,202,101.000
Segmented_GiantCells_pBR65-Col-T1#2-10X-350x_Maximum intensity projection.tif,pBR65,2,350x,Giant,5,696,139.200
Segmented_GiantCells_pBR65-Col-T1#3-10X-240x_Maximum intensity projection.tif,pBR65,3,240x,Giant,5,650,130.000
Segmented_GiantCells_pBR65-Col-T1#4-10X-28x_Maximum intensity projection.tif,pBR65,4,28x,Giant,8,1178,147.250
Segmented_GiantCells_pBR65-Col-T1#5-10X-40x_Maximum intensity projection.tif,pBR65,5,40x,Giant,8,1129,141.125
Segmented_GiantCells_pBR65-Col-T1#6-10X-90x_Maximum intensity projection.tif,pBR65,6,90x,Giant,2,278,139.000
Segmented_GiantCells_pBR65-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR65,8,400x,Giant,3,361,120.333
Segmented_SmallCells_pBR65-Col-T1#1-10X-350x_Maximum intensity projection.tif,pBR65,1,350x,Small,18,184,10.222
Segmented_SmallCells_pBR65-Col-T1#10-10X-100x_Maximum intensity projection.tif,pBR65,10,100x,Small,74,1023,13.824
Segmented_SmallCells_pBR65-Col-T1#11-10X-404x_Maximum intensity projection.tif,pBR65,11,404x,Small,17,332,19.529
Segmented_SmallCells_pBR65-Col-T1#12-10X-160x_Maximum intensity projection.tif,pBR65,12,160x,Small,83,925,11.145
Segmented_SmallCells_pBR65-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR65,15,400x,Small,22,329,14.955
Segmented_SmallCells_pBR65-Col-T1#16-10X-20x_Maximum intensity projection.tif,pBR65,16,20x,Small,12,377,31.417
Segmented_SmallCells_pBR65-Col-T1#18-10X-180x_Maximum intensity projection.tif,pBR65,18,180x,Small,30,404,13.467
Segmented_SmallCells_pBR65-Col-T1#19-10X-200x_Maximum intensity projection.tif,pBR65,19,200x,Small,36,338,9.389
Segmented_SmallCells_pBR65-Col-T1#2-10X-350x_Maximum intensity projection.tif,pBR65,2,350x,Small,90,1261,14.011
Segmented_SmallCells_pBR65-Col-T1#3-10X-240x_Maximum intensity projection.tif,pBR65,3,240x,Small,32,494,15.438
Segmented_SmallCells_pBR65-Col-T1#4-10X-28x_Maximum intensity projection.tif,pBR65,4,28x,Small,45,1248,27.733
Segmented_SmallCells_pBR65-Col-T1#5-10X-40x_Maximum intensity projection.tif,pBR65,5,40x,Small,151,3069,20.325
Segmented_SmallCells_pBR65-Col-T1#6-10X-90x_Maximum intensity projection.tif,pBR65,6,90x,Small,84,977,11.631
Segmented_SmallCells_pBR65-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR65,8,400x,Small,39,489,12.538
Segmented_GiantCells_pBR65-Col-T1#13-10X-200x_Maximum intensity projection.tif,pBR65,13,200x,Giant,2,306,153.000
Segmented_GiantCells_pBR65-Col-T1#14-10X-260x_Maximum intensity projection.tif,pBR65,14,260x,Giant,8,744,93.000
Segmented_GiantCells_pBR65-Col-T1#17-10X-300x_Maximum intensity projection.tif,pBR65,17,300x,Giant,5,497,99.400
Segmented_GiantCells_pBR65-Col-T1#20-10X-300x_Maximum intensity projection.tif,pBR65,20,300x,Giant,7,686,98.000
Segmented_GiantCells_pBR65-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR65,7,400x,Giant,3,283,94.333
Segmented_GiantCells_pBR65-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR65,9,400x,Giant,2,185,92.500
Segmented_SmallCells_pBR65-Col-T1#13-10X-200x_Maximum intensity projection.tif,pBR65,13,200x,Small,33,415,12.576
Segmented_SmallCells_pBR65-Col-T1#14-10X-260x_Maximum intensity projection.tif,pBR65,14,260x,Small,74,992,13.405
Segmented_SmallCells_pBR65-Col-T1#17-10X-300x_Maximum intensity projection.tif,pBR65,17,300x,Small,32,384,12.000
Segmented_SmallCells_pBR65-Col-T1#20-10X-300x_Maximum intensity projection.tif,pBR65,20,300x,Small,24,350,14.583
Segmented_SmallCells_pBR65-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR65,7,400x,Small,17,128,7.529
Segmented_SmallCells_pBR65-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR65,9,400x,Small,3,62,20.667
Segmented_GiantCells_pBR63-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR63,1,400x,Giant,1,149,149.000
Segmented_GiantCells_pBR63-Col-T1#14-10X-240x_Maximum intensity projection.tif,pBR63,14,240x,Giant,1,106,106.000
Segmented_GiantCells_pBR63-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR63,15,400x,Giant,5,419,83.800
Segmented_GiantCells_pBR63-Col-T1#16-10X-400x_Maximum intensity projection.tif,pBR63,16,400x,Giant,3,225,75.000
Segmented_GiantCells_pBR63-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR63,18,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#3-10X-400x_Maximum intensity projection.tif,pBR63,3,400x,Giant,1,183,183.000
Segmented_GiantCells_pBR63-Col-T1#4-10X-400x_Maximum intensity projection.tif,pBR63,4,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR63,6,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR63,7,400x,Giant,0,0,NaN
Segmented_SmallCells_pBR63-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR63,1,400x,Small,14,147,10.500
Segmented_SmallCells_pBR63-Col-T1#14-10X-240x_Maximum intensity projection.tif,pBR63,14,240x,Small,20,310,15.500
Segmented_SmallCells_pBR63-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR63,15,400x,Small,23,417,18.130
Segmented_SmallCells_pBR63-Col-T1#16-10X-400x_Maximum intensity projection.tif,pBR63,16,400x,Small,13,176,13.538
Segmented_SmallCells_pBR63-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR63,18,400x,Small,24,323,13.458
Segmented_SmallCells_pBR63-Col-T1#3-10X-400x_Maximum intensity projection.tif,pBR63,3,400x,Small,15,300,20.000
Segmented_SmallCells_pBR63-Col-T1#4-10X-400x_Maximum intensity projection.tif,pBR63,4,400x,Small,19,246,12.947
Segmented_SmallCells_pBR63-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR63,6,400x,Small,13,161,12.385
Segmented_SmallCells_pBR63-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR63,7,400x,Small,10,214,21.400
Segmented_GiantCells_pBR63-Col-T1#10-10X-400x_Maximum intensity projection.tif,pBR63,10,400x,Giant,1,83,83.000
Segmented_GiantCells_pBR63-Col-T1#11-10X-400x_Maximum intensity projection.tif,pBR63,11,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#12-10X-400x_Maximum intensity projection.tif,pBR63,12,400x,Giant,3,252,84.000
Segmented_GiantCells_pBR63-Col-T1#13-10X-400x_Maximum intensity projection.tif,pBR63,13,400x,Giant,1,158,158.000
Segmented_GiantCells_pBR63-Col-T1#17-10X-400x_Maximum intensity projection.tif,pBR63,17,400x,Giant,2,109,54.500
Segmented_GiantCells_pBR63-Col-T1#19-10X-400x_Maximum intensity projection.tif,pBR63,19,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#2-10X-400x_Maximum intensity projection.tif,pBR63,2,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#20-10X-400x_Maximum intensity projection.tif,pBR63,20,400x,Giant,1,81,81.000
Segmented_GiantCells_pBR63-Col-T1#5-10X-400x_Maximum intensity projection.tif,pBR63,5,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR63,8,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR63-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR63,9,400x,Giant,0,0,NaN
Segmented_SmallCells_pBR63-Col-T1#10-10X-400x_Maximum intensity projection.tif,pBR63,10,400x,Small,9,133,14.778
Segmented_SmallCells_pBR63-Col-T1#11-10X-400x_Maximum intensity projection.tif,pBR63,11,400x,Small,11,116,10.545
Segmented_SmallCells_pBR63-Col-T1#12-10X-400x_Maximum intensity projection.tif,pBR63,12,400x,Small,23,245,10.652
Segmented_SmallCells_pBR63-Col-T1#13-10X-400x_Maximum intensity projection.tif,pBR63,13,400x,Small,20,301,15.050
Segmented_SmallCells_pBR63-Col-T1#17-10X-400x_Maximum intensity projection.tif,pBR63,17,400x,Small,11,108,9.818
Segmented_SmallCells_pBR63-Col-T1#19-10X-400x_Maximum intensity projection.tif,pBR63,19,400x,Small,8,128,16.000
Segmented_SmallCells_pBR63-Col-T1#2-10X-400x_Maximum intensity projection.tif,pBR63,2,400x,Small,5,41,8.200
Segmented_SmallCells_pBR63-Col-T1#20-10X-400x_Maximum intensity projection.tif,pBR63,20,400x,Small,8,133,16.625
Segmented_SmallCells_pBR63-Col-T1#5-10X-400x_Maximum intensity projection.tif,pBR63,5,400x,Small,11,124,11.273
Segmented_SmallCells_pBR63-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR63,8,400x,Small,10,99,9.900
Segmented_SmallCells_pBR63-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR63,9,400x,Small,17,268,15.765
Segmented_GiantCells_pAR261-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR261,1,1A,Giant,30,4105,136.833
Segmented_GiantCells_pAR261-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR261,10,1A,Giant,22,2749,124.955
Segmented_GiantCells_pAR261-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR261,11,1A,Giant,22,3075,139.773
Segmented_GiantCells_pAR261-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR261,12,1A,Giant,20,2817,140.850
Segmented_GiantCells_pAR261-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR261,13,1A,Giant,28,3576,127.714
Segmented_GiantCells_pAR261-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR261,14,1A,Giant,23,3171,137.870
Segmented_GiantCells_pAR261-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR261,15,1A,Giant,20,2818,140.900
Segmented_GiantCells_pAR261-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR261,16,1A,Giant,16,2209,138.062
Segmented_GiantCells_pAR261-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR261,17,1A,Giant,38,5477,144.132
Segmented_GiantCells_pAR261-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR261,18,1A,Giant,23,3368,146.435
Segmented_GiantCells_pAR261-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR261,19,1A,Giant,15,2619,174.600
Segmented_GiantCells_pAR261-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR261,2,1A,Giant,25,3265,130.600
Segmented_GiantCells_pAR261-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR261,20,1A,Giant,23,3238,140.783
Segmented_GiantCells_pAR261-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR261,21,1A,Giant,32,4529,141.531
Segmented_GiantCells_pAR261-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR261,22,1A,Giant,21,3128,148.952
Segmented_GiantCells_pAR261-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR261,23,1A,Giant,27,3739,138.481
Segmented_GiantCells_pAR261-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR261,24,1A,Giant,20,3025,151.250
Segmented_GiantCells_pAR261-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR261,25,1A,Giant,33,4983,151.000
Segmented_GiantCells_pAR261-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR261,26,1A,Giant,26,4041,155.423
Segmented_GiantCells_pAR261-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR261,3,1A,Giant,17,2147,126.294
Segmented_GiantCells_pAR261-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR261,4,1A,Giant,34,4879,143.500
Segmented_GiantCells_pAR261-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR261,5,1A,Giant,23,3066,133.304
Segmented_GiantCells_pAR261-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR261,6,1A,Giant,11,1727,157.000
Segmented_GiantCells_pAR261-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR261,8,1A,Giant,34,4217,124.029
Segmented_SmallCells_pAR261-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR261,1,1A,Small,723,22315,30.864
Segmented_SmallCells_pAR261-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR261,10,1A,Small,437,16111,36.867
Segmented_SmallCells_pAR261-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR261,11,1A,Small,538,19708,36.632
