Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_SmallCells_pAR307-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR307,13,1A,Small,451,12337,27.355
Segmented_SmallCells_pAR307-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR307,14,1A,Small,691,21184,30.657
Segmented_SmallCells_pAR307-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR307,15,1A,Small,483,13143,27.211
Segmented_SmallCells_pAR307-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR307,16,1A,Small,331,8156,24.640
Segmented_SmallCells_pAR307-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR307,17,1A,Small,498,16702,33.538
Segmented_SmallCells_pAR307-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR307,18,1A,Small,582,20622,35.433
Segmented_SmallCells_pAR307-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR307,19,1A,Small,830,34364,41.402
Segmented_SmallCells_pAR307-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR307,2,1A,Small,1054,40242,38.180
Segmented_SmallCells_pAR307-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR307,20,1A,Small,212,7298,34.425
Segmented_SmallCells_pAR307-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR307,21,1A,Small,920,33039,35.912
Segmented_SmallCells_pAR307-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR307,23,1A,Small,1024,41087,40.124
Segmented_SmallCells_pAR307-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR307,3,1A,Small,911,28049,30.789
Segmented_SmallCells_pAR307-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR307,4,1A,Small,1060,34535,32.580
Segmented_SmallCells_pAR307-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR307,5,1A,Small,732,23104,31.563
Segmented_SmallCells_pAR307-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR307,6,1A,Small,898,30411,33.865
Segmented_SmallCells_pAR307-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR307,9,1A,Small,913,37466,41.036
Segmented_GiantCells_pAR308-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR308,1,1A,Giant,33,5161,156.394
Segmented_GiantCells_pAR308-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR308,10,1A,Giant,37,5844,157.946
Segmented_GiantCells_pAR308-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR308,11,1A,Giant,38,5906,155.421
Segmented_GiantCells_pAR308-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR308,12,1A,Giant,36,5817,161.583
Segmented_GiantCells_pAR308-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR308,13,1A,Giant,27,4261,157.815
Segmented_GiantCells_pAR308-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR308,14,1A,Giant,43,5732,133.302
Segmented_GiantCells_pAR308-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR308,15,1A,Giant,44,6017,136.750
Segmented_GiantCells_pAR308-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR308,16,1A,Giant,16,2574,160.875
Segmented_GiantCells_pAR308-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR308,17,1A,Giant,40,5886,147.150
Segmented_GiantCells_pAR308-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR308,18,1A,Giant,40,6514,162.850
Segmented_GiantCells_pAR308-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR308,19,1A,Giant,36,6005,166.806
Segmented_GiantCells_pAR308-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR308,2,1A,Giant,39,6336,162.462
Segmented_GiantCells_pAR308-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR308,20,1A,Giant,13,2152,165.538
Segmented_GiantCells_pAR308-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR308,21,1A,Giant,34,5506,161.941
Segmented_GiantCells_pAR308-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR308,3,1A,Giant,36,4854,134.833
Segmented_GiantCells_pAR308-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR308,4,1A,Giant,45,6850,152.222
Segmented_GiantCells_pAR308-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR308,5,1A,Giant,44,6646,151.045
Segmented_GiantCells_pAR308-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR308,6,1A,Giant,45,7860,174.667
Segmented_GiantCells_pAR308-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR308,7,1A,Giant,51,6685,131.078
Segmented_GiantCells_pAR308-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR308,8,1A,Giant,34,5157,151.676
Segmented_GiantCells_pAR308-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR308,9,1A,Giant,51,7507,147.196
Segmented_SmallCells_pAR308-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR308,1,1A,Small,971,37297,38.411
Segmented_SmallCells_pAR308-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR308,10,1A,Small,1081,44767,41.413
Segmented_SmallCells_pAR308-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR308,11,1A,Small,952,38210,40.137
Segmented_SmallCells_pAR308-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR308,12,1A,Small,972,39016,40.140
Segmented_SmallCells_pAR308-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR308,13,1A,Small,809,29212,36.109
Segmented_SmallCells_pAR308-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR308,14,1A,Small,981,37330,38.053
Segmented_SmallCells_pAR308-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR308,15,1A,Small,885,39036,44.108
Segmented_SmallCells_pAR308-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR308,16,1A,Small,614,14608,23.792
Segmented_SmallCells_pAR308-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR308,17,1A,Small,953,32446,34.046
Segmented_SmallCells_pAR308-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR308,18,1A,Small,1050,37633,35.841
Segmented_SmallCells_pAR308-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR308,19,1A,Small,888,37580,42.320
Segmented_SmallCells_pAR308-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR308,2,1A,Small,882,32851,37.246
Segmented_SmallCells_pAR308-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR308,20,1A,Small,401,12183,30.382
Segmented_SmallCells_pAR308-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR308,21,1A,Small,726,23698,32.642
Segmented_SmallCells_pAR308-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR308,3,1A,Small,739,27637,37.398
Segmented_SmallCells_pAR308-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR308,4,1A,Small,947,39610,41.827
Segmented_SmallCells_pAR308-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR308,5,1A,Small,1336,53504,40.048
Segmented_SmallCells_pAR308-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR308,6,1A,Small,933,34304,36.767
Segmented_SmallCells_pAR308-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR308,7,1A,Small,1817,69016,37.983
Segmented_SmallCells_pAR308-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR308,8,1A,Small,796,29709,37.323
Segmented_SmallCells_pAR308-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR308,9,1A,Small,1076,48546,45.117
