Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_SmallCells_pAR262-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR262,23,Small,484,15260,31.529,,,1A
Segmented_SmallCells_pAR262-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR262,24,Small,372,12329,33.142,,,1A
Segmented_SmallCells_pAR262-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR262,25,Small,151,4520,29.934,,,1A
Segmented_SmallCells_pAR262-Col-T1#27-10X-1A_Maximumintensityprojection.tif,pAR262,27,Small,219,6346,28.977,,,1A
Segmented_SmallCells_pAR262-Col-T1#28-10X-2A_Maximumintensityprojection.tif,pAR262,28,Small,105,2896,27.581,,,2A
Segmented_SmallCells_pAR262-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR262,3,Small,288,6262,21.743,,,1A
Segmented_SmallCells_pAR262-Col-T1#30-10X-1A_Maximumintensityprojection.tif,pAR262,30,Small,149,5099,34.221,,,1A
Segmented_SmallCells_pAR262-Col-T1#31-10X-1A_Maximumintensityprojection.tif,pAR262,31,Small,167,4377,26.21,,,1A
Segmented_SmallCells_pAR262-Col-T1#32-10X-1A_Maximumintensityprojection.tif,pAR262,32,Small,168,4811,28.637,,,1A
Segmented_SmallCells_pAR262-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR262,4,Small,273,8609,31.535,,,1A
Segmented_SmallCells_pAR262-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR262,5,Small,104,2606,25.058,,,1A
Segmented_SmallCells_pAR262-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR262,6,Small,242,7969,32.93,,,1A
Segmented_SmallCells_pAR262-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR262,7,Small,225,6604,29.351,,,1A
Segmented_SmallCells_pAR262-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR262,9,Small,161,4069,25.273,,,1A
Segmented_GiantCells_pAR254-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR254,1,Giant,29,5063,174.586,,,1A
Segmented_GiantCells_pAR254-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR254,10,Giant,22,3967,180.318,,,1A
Segmented_GiantCells_pAR254-Col-T1#11-10X-1A.tif,pAR254,11,Giant,18,2612,145.111,,,1A.tif
Segmented_GiantCells_pAR254-Col-T1#12-10X-1A.tif,pAR254,12,Giant,31,4750,153.226,,,1A.tif
Segmented_GiantCells_pAR254-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR254,13,Giant,19,2625,138.158,,,1A
