Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,7 2A,Small,23,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,7 3A,Giant,4,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,7 3A,Small,23,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,7 4A,Giant,1,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,7 4A,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,8 1A,Giant,1,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,8 1A,Small,25,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,8 2A,Giant,10,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,8 2A,Small,8,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,8 3A,Giant,4,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,8 3A,Small,8,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,8 4A,Giant,1,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,8 4A,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-5A_Maximumintensityprojection.tif,pAR111xjaw1d,8 5A,Giant,9,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-5A_Maximumintensityprojection.tif,pAR111xjaw1d,8 5A,Small,23,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-6A_Maximumintensityprojection.tif,pAR111xjaw1d,8 6A,Giant,2,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-8-10X-6A_Maximumintensityprojection.tif,pAR111xjaw1d,8 6A,Small,15,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,9 1A,Giant,5,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,9 1A,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,9 2A,Giant,3,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,9 2A,Small,23,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,9 3A,Giant,4,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,9 3A,Small,27,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,9 4A,Giant,3,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,9 4A,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-6A_Maximumintensityprojection.tif,pAR111xjaw1d,9 6A,Giant,2,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-9-10X-6A_Maximumintensityprojection.tif,pAR111xjaw1d,9 6A,Small,20,,,,,
pAR111-Col-F1-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,1A,Giant,15,,,,,
pAR111-Col-F1-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,1A,Small,46,,,,,
pAR111xCol-F1-11A-10X_Maximumintensityprojection.tif,pAR111xCol0,11A,Giant,10,,,,,
pAR111xCol-F1-11A-10X_Maximumintensityprojection.tif,pAR111xCol0,11A,Small,28,,,,,
pAR111xCol-F1-12A-10X_Maximumintensityprojection.tif,pAR111xCol0,12A,Giant,18,,,,,
pAR111xCol-F1-12A-10X_Maximumintensityprojection.tif,pAR111xCol0,12A,Small,28,,,,,
pAR111xCol-F1-13A-10X_Maximumintensityprojection.tif,pAR111xCol0,13A,Giant,10,,,,,
pAR111xCol-F1-13A-10X_Maximumintensityprojection.tif,pAR111xCol0,13A,Small,44,,,,,
pAR111xCol-F1-1A-10X_Maximumintensityprojection.tif,pAR111xCol0,1A,Giant,1,,,,,
pAR111xCol-F1-1A-10X_Maximumintensityprojection.tif,pAR111xCol0,1A,Small,2,,,,,
pAR111xCol-F1-1B-10X_Maximumintensityprojection.tif,pAR111xCol0,1B,Giant,10,,,,,
pAR111xCol-F1-1B-10X_Maximumintensityprojection.tif,pAR111xCol0,1B,Small,87,,,,,
pAR111xCol-F1-2A-10X_Maximumintensityprojection.tif,pAR111xCol0,2A,Giant,17,,,,,
pAR111xCol-F1-2A-10X_Maximumintensityprojection.tif,pAR111xCol0,2A,Small,39,,,,,
pAR111xCol-F1-4A-10X_Maximumintensityprojection.tif,pAR111xCol0,4A,Giant,13,,,,,
pAR111xCol-F1-4A-10X_Maximumintensityprojection.tif,pAR111xCol0,4A,Small,36,,,,,
pAR111xCol-F1-5A-10X_Maximumintensityprojection.tif,pAR111xCol0,5A,Giant,8,,,,,
pAR111xCol-F1-5A-10X_Maximumintensityprojection.tif,pAR111xCol0,5A,Small,65,,,,,
pAR111xCol-F1-6A-10X_Maximumintensityprojection.tif,pAR111xCol0,6A,Giant,19,,,,,
pAR111xCol-F1-6A-10X_Maximumintensityprojection.tif,pAR111xCol0,6A,Small,47,,,,,
pAR111xCol-F1-9A-10X_Maximumintensityprojection.tif,pAR111xCol0,9A,Giant,6,,,,,
pAR111xCol-F1-9A-10X_Maximumintensityprojection.tif,pAR111xCol0,9A,Small,29,,,,,
