Name    Cell_number Total_area  Avg_area
Segmented_GiantCells_pBR63-Col-T1#5-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#8-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#9-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_SmallCells_pBR63-Col-T1#10-10X-400x_Maximum intensity projection.tif	9	133	14.778	0.005	255
Segmented_SmallCells_pBR63-Col-T1#11-10X-400x_Maximum intensity projection.tif	11	116	10.545	0.006	255
Segmented_SmallCells_pBR63-Col-T1#12-10X-400x_Maximum intensity projection.tif	23	245	10.652	0.013	255
Segmented_SmallCells_pBR63-Col-T1#13-10X-400x_Maximum intensity projection.tif	20	301	15.050	0.010	255
Segmented_SmallCells_pBR63-Col-T1#17-10X-400x_Maximum intensity projection.tif	11	108	9.818	0.004	255
Segmented_SmallCells_pBR63-Col-T1#19-10X-400x_Maximum intensity projection.tif	8	128	16.000	0.007	255
Segmented_SmallCells_pBR63-Col-T1#2-10X-400x_Maximum intensity projection.tif	5	41	8.200	0.001	255
Segmented_SmallCells_pBR63-Col-T1#20-10X-400x_Maximum intensity projection.tif	8	133	16.625	0.007	255
Segmented_SmallCells_pBR63-Col-T1#5-10X-400x_Maximum intensity projection.tif	11	124	11.273	0.004	255
Segmented_SmallCells_pBR63-Col-T1#8-10X-400x_Maximum intensity projection.tif	10	99	9.900	0.005	255
Segmented_SmallCells_pBR63-Col-T1#9-10X-400x_Maximum intensity projection.tif	17	268	15.765	0.014	255
Segmented_GiantCells_pAR261-Col-T1#1-10X-1A_Maximumintensityprojection.tif	30	4105	136.833	0.298	0
Segmented_GiantCells_pAR261-Col-T1#10-10X-1A_Maximumintensityprojection.tif	22	2749	124.955	0.199	0
Segmented_GiantCells_pAR261-Col-T1#11-10X-1A_Maximumintensityprojection.tif	22	3075	139.773	0.223	0
Segmented_GiantCells_pAR261-Col-T1#12-10X-1A_Maximumintensityprojection.tif	20	2817	140.850	0.204	0
Segmented_GiantCells_pAR261-Col-T1#13-10X-1A_Maximumintensityprojection.tif	28	3576	127.714	0.259	0
Segmented_GiantCells_pAR261-Col-T1#14-10X-1A_Maximumintensityprojection.tif	23	3171	137.870	0.230	0
Segmented_GiantCells_pAR261-Col-T1#15-10X-1A_Maximumintensityprojection.tif	20	2818	140.900	0.204	0
Segmented_GiantCells_pAR261-Col-T1#16-10X-1A_Maximumintensityprojection.tif	16	2209	138.062	0.160	0
Segmented_GiantCells_pAR261-Col-T1#17-10X-1A_Maximumintensityprojection.tif	38	5477	144.132	0.397	0
