Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean_intensity,Integrated_density,Script_Version
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#2-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,2,Small,416,15415,37.055,0.49,27.562,1161.37,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#2-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,2,Small,425,16243,38.219,0.775,29.025,1230.209,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#2-10x-s3i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,2,Small,431,15852,36.78,0.756,27.606,1162.434,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#2-10x-s4i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,2,Small,380,14000,36.842,0.668,27.594,1147.932,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#3-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,3,Small,438,15341,35.025,0.732,26.298,1014.281,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#3-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,3,Small,388,13332,34.361,0.636,24.859,968.08,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#4-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,4,Small,382,12585,32.945,0.6,25.325,928.301,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#4-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,4,Small,343,10632,30.997,0.507,22.121,754.531,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#7-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,7,Small,281,8919,31.74,0.425,23.595,849.694,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#7-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,7,Small,182,4808,26.418,0.229,19.775,578.989,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#8-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,8,Small,356,13681,38.43,0.435,27.176,1178.82,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#8-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,8,Small,365,12938,35.447,0.411,26.847,1118.904,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#9-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,9,Small,377,13019,34.533,0.621,26.834,1047.04,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#9-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,9,Small,425,16309,38.374,0.519,28.96,1236.141,4
